epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30852.7,1.41184,1.10286,1.11522,0.52501,0.4236,0.43426,0.25822,1.33451,1.02934,1.08682,0.00884029,0.00884029,0.00884029
43,31592.4,1.41439,1.09855,1.11264,0.52737,0.42906,0.43693,0.26092,1.32445,1.02423,1.08257,0.008812,0.008812,0.008812
44,32301.6,1.41292,1.09659,1.10947,0.51644,0.42884,0.43249,0.25834,1.32605,1.02078,1.08189,0.00878371,0.00878371,0.00878371
45,33041.9,1.40354,1.08524,1.11177,0.52809,0.4351,0.44149,0.26385,1.3264,1.01342,1.08236,0.00875543,0.00875543,0.00875543
46,33787.1,1.40625,1.08411,1.109,0.53164,0.43568,0.44207,0.26487,1.32049,1.00989,1.07904,0.00872714,0.00872714,0.00872714
47,34497.5,1.40603,1.08556,1.1077,0.53613,0.43558,0.44521,0.26772,1.31734,1.0084,1.0768,0.00869886,0.00869886,0.00869886
48,35268.7,1.38726,1.07173,1.10472,0.52973,0.4383,0.44236,0.26576,1.31725,1.0066,1.07723,0.00867057,0.00867057,0.00867057
49,35991.7,1.38745,1.06898,1.09997,0.54175,0.438,0.44704,0.26878,1.31281,1.00156,1.07471,0.00864229,0.00864229,0.00864229
50,36718.9,1.39676,1.07197,1.10261,0.53366,0.4469,0.44955,0.27039,1.31084,0.99875,1.0738,0.008614,0.008614,0.008614
51,37439.8,1.38731,1.05808,1.10038,0.53152,0.44136,0.45035,0.27214,1.31219,0.99797,1.07427,0.00858571,0.00858571,0.00858571
52,38163.9,1.38674,1.06229,1.09462,0.54279,0.4424,0.45294,0.27331,1.30824,0.99053,1.07092,0.00855743,0.00855743,0.00855743
53,38898.6,1.38854,1.05825,1.09881,0.54414,0.44902,0.45747,0.27525,1.30569,0.98898,1.0713,0.00852914,0.00852914,0.00852914
54,39612.2,1.38268,1.0545,1.09559,0.54014,0.44455,0.45449,0.27528,1.3042,0.98786,1.07054,0.00850086,0.00850086,0.00850086
55,40335.7,1.39211,1.056,1.09958,0.53931,0.4515,0.45622,0.27562,1.30437,0.98703,1.06937,0.00847257,0.00847257,0.00847257
56,41053.8,1.37629,1.04586,1.09408,0.5536,0.44215,0.45754,0.27641,1.30358,0.98355,1.06906,0.00844429,0.00844429,0.00844429
57,41809.1,1.37194,1.03524,1.0916,0.55821,0.44184,0.45901,0.27646,1.30287,0.97855,1.06832,0.008416,0.008416,0.008416
58,42553.8,1.37364,1.03604,1.09477,0.54788,0.44869,0.46039,0.27876,1.29883,0.97655,1.06448,0.00838771,0.00838771,0.00838771
59,43290.5,1.37359,1.03545,1.09199,0.54246,0.45213,0.46058,0.27799,1.29787,0.97148,1.06425,0.00835943,0.00835943,0.00835943
60,44028.7,1.36745,1.03113,1.08906,0.55745,0.45424,0.46479,0.28119,1.30021,0.97101,1.06645,0.00833114,0.00833114,0.00833114
61,44783.6,1.36799,1.02742,1.08905,0.55101,0.45293,0.46491,0.2817,1.29472,0.97068,1.06259,0.00830286,0.00830286,0.00830286
62,45500.1,1.36339,1.02553,1.08795,0.53941,0.45507,0.46432,0.28096,1.29375,0.96877,1.06314,0.00827457,0.00827457,0.00827457
63,46233.1,1.3709,1.02876,1.08813,0.54931,0.45029,0.46513,0.2812,1.29158,0.9663,1.06162,0.00824629,0.00824629,0.00824629
64,46967.6,1.3702,1.02554,1.08814,0.54859,0.45702,0.46991,0.28545,1.29161,0.96134,1.0608,0.008218,0.008218,0.008218
65,47722,1.35954,1.01633,1.08233,0.55124,0.45774,0.46891,0.28448,1.2904,0.95758,1.06004,0.00818971,0.00818971,0.00818971
66,48455.9,1.36079,1.01807,1.08515,0.55279,0.46178,0.47148,0.28629,1.28758,0.95798,1.05852,0.00816143,0.00816143,0.00816143
67,49198.1,1.36062,1.01961,1.08027,0.55615,0.46127,0.47368,0.28821,1.28701,0.95499,1.05805,0.00813314,0.00813314,0.00813314
68,49940.8,1.35398,1.00876,1.07987,0.55769,0.45543,0.4738,0.28767,1.28393,0.95564,1.05633,0.00810486,0.00810486,0.00810486
69,50670.2,1.35412,1.00969,1.08261,0.55333,0.4631,0.47733,0.2906,1.2809,0.95105,1.0553,0.00807657,0.00807657,0.00807657
70,51407,1.35442,1.009,1.08269,0.55164,0.46555,0.47745,0.29071,1.28155,0.94818,1.05612,0.00804829,0.00804829,0.00804829
71,52151.2,1.35378,1.00204,1.0806,0.56316,0.46183,0.47907,0.29237,1.2804,0.94501,1.05434,0.00802,0.00802,0.00802
72,52869,1.35763,1.00704,1.07985,0.56128,0.46296,0.47946,0.29207,1.27797,0.94475,1.05248,0.00799171,0.00799171,0.00799171
73,53603.5,1.35031,0.99734,1.07613,0.57138,0.45893,0.48111,0.2922,1.27746,0.94155,1.05291,0.00796343,0.00796343,0.00796343
74,54331,1.34624,0.99633,1.07682,0.57559,0.45707,0.48156,0.29274,1.27458,0.94104,1.0523,0.00793514,0.00793514,0.00793514
75,55064,1.3417,0.99376,1.0751,0.56909,0.4661,0.48342,0.29464,1.27381,0.93603,1.05204,0.00790686,0.00790686,0.00790686
76,55794.2,1.33687,0.99037,1.07654,0.56908,0.46359,0.48267,0.29481,1.27575,0.93556,1.05249,0.00787857,0.00787857,0.00787857
77,56502.1,1.34668,0.99218,1.07919,0.56969,0.46313,0.48327,0.29475,1.27623,0.93608,1.05184,0.00785029,0.00785029,0.00785029
78,57259.9,1.34494,0.98772,1.07384,0.57828,0.46308,0.48307,0.2944,1.27567,0.93461,1.05069,0.007822,0.007822,0.007822
79,58029,1.33332,0.9797,1.07405,0.56583,0.46778,0.48395,0.29473,1.27276,0.93236,1.04933,0.00779371,0.00779371,0.00779371
80,58761.7,1.33477,0.97909,1.07215,0.57796,0.4663,0.48498,0.29572,1.27242,0.93154,1.04947,0.00776543,0.00776543,0.00776543
81,59503.5,1.33809,0.97732,1.07249,0.57392,0.46854,0.48741,0.29782,1.27202,0.93061,1.04968,0.00773714,0.00773714,0.00773714
82,60224.8,1.33785,0.97416,1.06864,0.57904,0.46969,0.48904,0.29891,1.27063,0.92836,1.04804,0.00770886,0.00770886,0.00770886
83,60962.4,1.33314,0.97682,1.06983,0.56947,0.47358,0.48902,0.2989,1.26985,0.92531,1.04801,0.00768057,0.00768057,0.00768057
84,61682.6,1.33374,0.97254,1.07182,0.56943,0.47619,0.48921,0.29911,1.26722,0.92407,1.04665,0.00765229,0.00765229,0.00765229
85,62416.4,1.33372,0.97333,1.07021,0.58196,0.46889,0.49024,0.29886,1.26721,0.92356,1.04697,0.007624,0.007624,0.007624
86,63134.1,1.33222,0.97106,1.06844,0.57451,0.47167,0.49074,0.30007,1.26562,0.92166,1.04592,0.00759571,0.00759571,0.00759571
87,63856.4,1.33225,0.97215,1.06896,0.57553,0.47301,0.49211,0.30092,1.26438,0.92004,1.04549,0.00756743,0.00756743,0.00756743
88,64604.8,1.33085,0.96657,1.06866,0.57448,0.4788,0.4952,0.30386,1.26338,0.91704,1.04555,0.00753914,0.00753914,0.00753914
89,65356.8,1.32845,0.9637,1.06762,0.57015,0.48222,0.49665,0.30482,1.26398,0.9186,1.04574,0.00751086,0.00751086,0.00751086
90,66132.4,1.33099,0.96526,1.06826,0.58068,0.47664,0.49664,0.30451,1.26314,0.91697,1.04485,0.00748257,0.00748257,0.00748257
91,66850.4,1.32531,0.96034,1.06532,0.58045,0.47764,0.49832,0.30555,1.2628,0.91529,1.04467,0.00745429,0.00745429,0.00745429
92,67596.6,1.32989,0.96059,1.06286,0.57684,0.48127,0.49835,0.30594,1.26269,0.91401,1.04409,0.007426,0.007426,0.007426
93,68321.1,1.32626,0.96159,1.06406,0.58778,0.47599,0.5003,0.30709,1.26248,0.913,1.04361,0.00739771,0.00739771,0.00739771
94,69041.5,1.32119,0.95616,1.06396,0.58635,0.4754,0.50081,0.30692,1.26208,0.91245,1.04372,0.00736943,0.00736943,0.00736943
95,69778.4,1.32554,0.96051,1.06487,0.58715,0.47706,0.50097,0.30766,1.26141,0.91183,1.04331,0.00734114,0.00734114,0.00734114
96,70526.7,1.31965,0.95313,1.06303,0.58308,0.48115,0.5005,0.30782,1.26044,0.91121,1.04258,0.00731286,0.00731286,0.00731286
97,71241.7,1.31677,0.94672,1.06248,0.58682,0.48195,0.5007,0.30779,1.26008,0.91006,1.04224,0.00728457,0.00728457,0.00728457
98,71974.3,1.31353,0.94605,1.05984,0.58416,0.481,0.50123,0.30908,1.25926,0.90862,1.04211,0.00725629,0.00725629,0.00725629
99,72692.9,1.31641,0.94621,1.06212,0.58606,0.48188,0.50154,0.30996,1.25878,0.90702,1.04144,0.007228,0.007228,0.007228
100,73418,1.32003,0.95068,1.0609,0.5885,0.48086,0.5015,0.30973,1.2569,0.90631,1.04059,0.00719971,0.00719971,0.00719971
101,74156.3,1.30571,0.93347,1.0568,0.58599,0.48359,0.50372,0.31084,1.2569,0.90495,1.04079,0.00717143,0.00717143,0.00717143
102,74875.5,1.31589,0.93888,1.05711,0.58538,0.48318,0.50303,0.31052,1.25548,0.90456,1.03999,0.00714314,0.00714314,0.00714314
103,75649,1.30869,0.93747,1.05573,0.58896,0.48209,0.50453,0.31198,1.25442,0.90324,1.04005,0.00711486,0.00711486,0.00711486
104,76370.7,1.31184,0.94256,1.05956,0.58696,0.48291,0.50482,0.31152,1.2539,0.90169,1.03991,0.00708657,0.00708657,0.00708657
105,77126.4,1.30694,0.9306,1.05684,0.58476,0.48532,0.50516,0.31174,1.25448,0.90157,1.03972,0.00705829,0.00705829,0.00705829
106,77849.1,1.30538,0.93201,1.05889,0.58342,0.48697,0.5061,0.31226,1.25444,0.9,1.03963,0.00703,0.00703,0.00703
107,78573.4,1.30295,0.93396,1.05266,0.58886,0.48293,0.50724,0.3131,1.2534,0.8991,1.03917,0.00700171,0.00700171,0.00700171
108,79298.4,1.30918,0.93761,1.05815,0.58943,0.4845,0.50746,0.31319,1.25375,0.89767,1.0392,0.00697343,0.00697343,0.00697343
109,80037.7,1.30837,0.92827,1.05602,0.59235,0.48348,0.50794,0.31347,1.25392,0.89724,1.03928,0.00694514,0.00694514,0.00694514
110,80751,1.29951,0.92736,1.05481,0.59142,0.48262,0.50762,0.31353,1.25377,0.89685,1.03881,0.00691686,0.00691686,0.00691686
111,81517.8,1.30403,0.92845,1.05213,0.59353,0.48475,0.50821,0.314,1.25283,0.8958,1.03828,0.00688857,0.00688857,0.00688857
112,82265.9,1.30245,0.92641,1.05555,0.59807,0.48259,0.50851,0.31404,1.25234,0.89509,1.03778,0.00686029,0.00686029,0.00686029
113,83042.4,1.30055,0.92441,1.05244,0.59348,0.48643,0.50868,0.31409,1.2519,0.89394,1.03755,0.006832,0.006832,0.006832
114,83762.2,1.30196,0.92244,1.05231,0.58937,0.48781,0.50927,0.31475,1.25092,0.89249,1.03705,0.00680371,0.00680371,0.00680371
115,84515.8,1.2979,0.91958,1.04914,0.58974,0.48793,0.5102,0.31601,1.24996,0.89161,1.03661,0.00677543,0.00677543,0.00677543
116,85236.5,1.29557,0.91613,1.05034,0.59202,0.48593,0.51096,0.31655,1.24913,0.89059,1.03628,0.00674714,0.00674714,0.00674714
117,85948.1,1.29773,0.92266,1.05519,0.59368,0.48715,0.51164,0.31674,1.24867,0.89053,1.03606,0.00671886,0.00671886,0.00671886
118,86681.3,1.29483,0.91682,1.05042,0.59459,0.48633,0.51195,0.31755,1.24816,0.88976,1.03591,0.00669057,0.00669057,0.00669057
119,87396.9,1.29731,0.91355,1.04954,0.59437,0.48734,0.51245,0.31728,1.2475,0.88871,1.03582,0.00666229,0.00666229,0.00666229
120,88132.1,1.29394,0.91475,1.04954,0.59089,0.4891,0.51236,0.31705,1.24755,0.88832,1.03584,0.006634,0.006634,0.006634
121,88848.5,1.29587,0.9117,1.05047,0.59335,0.48937,0.51245,0.31748,1.24722,0.88751,1.03552,0.00660571,0.00660571,0.00660571
122,89572.7,1.28783,0.90712,1.0477,0.59644,0.48793,0.51317,0.31799,1.24701,0.88705,1.03547,0.00657743,0.00657743,0.00657743
123,90316.5,1.29488,0.91389,1.05064,0.59425,0.4886,0.51314,0.31784,1.24637,0.8867,1.03519,0.00654914,0.00654914,0.00654914
124,91043.9,1.29065,0.90929,1.04832,0.59422,0.48761,0.51299,0.31819,1.24579,0.88639,1.03491,0.00652086,0.00652086,0.00652086
125,91781,1.29187,0.91104,1.04739,0.59416,0.48872,0.51316,0.31824,1.24541,0.88593,1.03462,0.00649257,0.00649257,0.00649257
126,92494.7,1.28624,0.90493,1.04664,0.5908,0.4896,0.51377,0.31842,1.24545,0.88566,1.03449,0.00646429,0.00646429,0.00646429
127,93214.8,1.2799,0.90272,1.04559,0.59567,0.48611,0.51358,0.31861,1.24448,0.8849,1.03398,0.006436,0.006436,0.006436
128,93924.7,1.28924,0.90425,1.04672,0.59623,0.48628,0.51333,0.31835,1.24411,0.88427,1.03364,0.00640771,0.00640771,0.00640771
129,94698.8,1.2941,0.90732,1.04867,0.59898,0.4848,0.51456,0.31868,1.24389,0.88353,1.03355,0.00637943,0.00637943,0.00637943
130,95408.8,1.28621,0.90355,1.04532,0.59898,0.4867,0.51462,0.31882,1.24377,0.88319,1.03341,0.00635114,0.00635114,0.00635114
131,96142.6,1.28737,0.90192,1.04397,0.6004,0.48657,0.51466,0.31906,1.24324,0.88222,1.03312,0.00632286,0.00632286,0.00632286
132,96885.9,1.28897,0.89964,1.04545,0.60149,0.48691,0.51524,0.31907,1.24292,0.88167,1.03304,0.00629457,0.00629457,0.00629457
133,97616.6,1.28813,0.89965,1.04388,0.5986,0.48789,0.5157,0.31976,1.24235,0.88136,1.0327,0.00626629,0.00626629,0.00626629
134,98339.7,1.28757,0.90225,1.04568,0.5945,0.49153,0.51643,0.3202,1.24215,0.88112,1.03254,0.006238,0.006238,0.006238
135,99077.6,1.28481,0.89545,1.04414,0.58964,0.49603,0.51653,0.32069,1.24173,0.88096,1.03236,0.00620971,0.00620971,0.00620971
136,99795.1,1.27558,0.89204,1.04183,0.58863,0.49542,0.51692,0.32099,1.24135,0.88075,1.03218,0.00618143,0.00618143,0.00618143
137,100519,1.28223,0.89386,1.04459,0.59051,0.49464,0.51774,0.32143,1.24107,0.88013,1.03196,0.00615314,0.00615314,0.00615314
138,101243,1.28418,0.89648,1.04705,0.58781,0.49674,0.51804,0.32186,1.24077,0.87943,1.03178,0.00612486,0.00612486,0.00612486
139,101955,1.27486,0.89055,1.04205,0.58836,0.49713,0.51862,0.3222,1.24078,0.87882,1.03163,0.00609657,0.00609657,0.00609657
140,102666,1.28416,0.89109,1.04158,0.58944,0.49777,0.51898,0.32239,1.24038,0.87848,1.03149,0.00606829,0.00606829,0.00606829
141,103396,1.28099,0.89008,1.0431,0.58948,0.49854,0.51914,0.32265,1.24006,0.87785,1.0313,0.00604,0.00604,0.00604
142,104103,1.27128,0.88284,1.04006,0.59035,0.49769,0.51922,0.32275,1.23992,0.87748,1.03124,0.00601171,0.00601171,0.00601171
143,104819,1.2779,0.88749,1.04218,0.5918,0.4981,0.51945,0.32291,1.23971,0.87695,1.03107,0.00598343,0.00598343,0.00598343
144,105548,1.27475,0.88263,1.03926,0.59085,0.49978,0.51932,0.32293,1.23954,0.87676,1.03094,0.00595514,0.00595514,0.00595514
145,106279,1.27007,0.88108,1.04149,0.59052,0.50093,0.51933,0.3231,1.2395,0.8765,1.03085,0.00592686,0.00592686,0.00592686
146,107033,1.27404,0.88331,1.03912,0.59102,0.50069,0.51988,0.32338,1.23933,0.87614,1.03073,0.00589857,0.00589857,0.00589857
147,107750,1.26731,0.87771,1.04038,0.5922,0.50013,0.52016,0.32353,1.23909,0.87562,1.03063,0.00587029,0.00587029,0.00587029
148,108464,1.26854,0.87635,1.03996,0.59231,0.5002,0.52044,0.32361,1.23904,0.87531,1.03054,0.005842,0.005842,0.005842
149,109184,1.27704,0.88162,1.0407,0.5911,0.5014,0.52028,0.3237,1.2389,0.87496,1.03048,0.00581371,0.00581371,0.00581371
150,109904,1.2684,0.87424,1.03815,0.59082,0.50145,0.52047,0.32408,1.23877,0.87476,1.03042,0.00578543,0.00578543,0.00578543
151,110631,1.27336,0.88051,1.03812,0.59186,0.5009,0.52089,0.32416,1.23855,0.87442,1.03024,0.00575714,0.00575714,0.00575714
152,111355,1.27282,0.88087,1.03691,0.59321,0.49973,0.52101,0.32401,1.23837,0.87421,1.03015,0.00572886,0.00572886,0.00572886
153,112097,1.27127,0.87607,1.03751,0.59116,0.50035,0.52099,0.32419,1.23803,0.87398,1.02995,0.00570057,0.00570057,0.00570057
154,112833,1.27114,0.8747,1.03839,0.59125,0.49997,0.52098,0.32424,1.2379,0.87377,1.02986,0.00567229,0.00567229,0.00567229
155,113586,1.26248,0.8687,1.03594,0.59088,0.50067,0.52144,0.32436,1.23776,0.87353,1.0298,0.005644,0.005644,0.005644
156,114309,1.26777,0.86933,1.03722,0.59093,0.50066,0.52175,0.32461,1.23775,0.87339,1.02971,0.00561571,0.00561571,0.00561571
157,115043,1.26726,0.87116,1.03662,0.58804,0.5014,0.52173,0.32473,1.23762,0.87311,1.02971,0.00558743,0.00558743,0.00558743
158,115790,1.27012,0.86985,1.03206,0.59291,0.49967,0.52186,0.32482,1.23744,0.87289,1.02966,0.00555914,0.00555914,0.00555914
159,116505,1.26928,0.87153,1.03633,0.59204,0.50161,0.52253,0.325,1.23731,0.87251,1.02958,0.00553086,0.00553086,0.00553086
